Today,Exp Date,Tenor,Spot,Imp Forw,80.00%,90.00%,95.00%,97.50%,100.00%,102.50%,105.00%,110.00%,120.00%
23-gen,31-mag,128,4019.81,4063.03,28.43,23.43,21.22,20.05,18.82,17.59,16.42,14.62,14.21
24-gen,31-mag,127,4016.95,4057.36,28.2,23.11,20.89,19.7,18.45,17.19,16.03,14.39,14.17
25-gen,31-mag,126,4016.22,4052,28.08,22.88,20.64,19.45,18.2,16.95,15.81,14.21,14.12
26-gen,31-mag,125,4060.43,4102.15,28.22,22.83,20.53,19.3,17.87,16.14,15.16,13.61,14.28
27-gen,31-mag,124,4070.56,4111.93,28.07,22.55,20.08,18.81,17.5,16.26,15.18,13.72,13.94
30-gen,31-mag,121,4017.77,4067.73,28.51,23.14,20.71,19.45,18.17,16.95,15.85,14.29,14.42
06-feb,31-mag,114,4111.08,4151.58,28.97,23.26,20.72,19.41,18.07,16.78,15.67,14.23,14.18
14-feb,31-mag,106,4137.29,4171.39,29.35,23.72,21.23,19.93,18.61,17.37,16.28,14.75,14.41
21-feb,31-mag,99,3997.34,4038.93,30.76,24.77,22.37,21.13,19.8,18.44,17.15,15.26,14.86
27-feb,31-mag,93,3982.24,4013.07,29.28,23.66,21.5,20.35,19.1,17.82,16.61,14.84,15.55
06-mar,31-mag,86,4048.42,4085.36,27.4,22.05,19.96,18.8,17.57,16.4,15.42,14.21,15.8
13-mar,31-mag,79,3855.76,3897.66,34.12,27.1,24.28,22.91,21.54,20.17,18.81,16.59,16.09
20-mar,31-mag,72,3951.57,3980.92,34.39,27.2,24.1,22.49,20.83,19.16,17.61,15.42,16.62
25-apr,31-mag,36,4071.63,4148.95,33.01,23.21,18.98,16.72,14.22,11.92,10.67,12.07,20.36
